City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,bay roberts,CA,47.5999,-53.2648,295.4,75,7,2.68,clear sky
192,praia da vitoria,PT,38.7333,-27.0667,300.29,69,75,9.17,broken clouds
193,zyryanka,RU,65.75,150.85,273.65,98,100,4.09,light snow
194,port hardy,CA,50.6996,-127.4199,285.25,100,100,0.0,light rain
195,rio do sul,BR,-27.2142,-49.6431,292.81,38,3,4.15,clear sky
196,plettenberg bay,ZA,-34.0527,23.3716,287.39,59,100,2.14,overcast clouds
197,morros,BR,-9.4467,-46.3003,309.39,24,27,2.03,scattered clouds
198,narsaq,GL,60.9167,-46.05,281.27,94,100,3.44,moderate rain
199,lichuan,CN,30.3,108.85,283.7,97,100,1.09,overcast clouds
200,kulhudhuffushi,MV,6.6221,73.07,301.3,71,81,4.23,broken clouds
201,chato,TZ,-2.6378,31.7669,298.8,55,100,3.85,overcast clouds
202,pokhara,NP,28.2333,83.9833,294.68,90,59,1.8,broken clouds
203,rawson,AR,-43.3002,-65.1023,287.9,42,66,6.09,broken clouds
204,pacific grove,US,36.6177,-121.9166,287.34,90,0,2.24,clear sky
205,phan thiet,VN,10.9333,108.1,299.11,84,100,2.24,overcast clouds
206,bargarh,IN,21.3333,83.6167,298.44,88,28,2.4,scattered clouds
207,lodja,CD,-3.4833,23.4333,303.77,50,90,1.57,overcast clouds
208,samarai,PG,-10.6167,150.6667,299.49,82,89,3.73,light rain
209,omboue,GA,-1.5746,9.2618,299.6,76,100,4.82,overcast clouds
210,isangel,VU,-19.55,169.2667,296.73,90,19,2.52,few clouds
211,saldanha,ZA,-33.0117,17.9442,289.18,53,100,7.11,overcast clouds
212,savannah bight,HN,16.45,-85.85,300.93,74,94,1.88,overcast clouds
213,buchanan,LR,5.8808,-10.0467,299.9,78,100,4.34,light rain
214,the valley,AI,18.217,-63.0578,304.07,79,20,5.66,few clouds
215,plouzane,FR,48.3833,-4.6167,290.18,88,100,4.63,overcast clouds
216,salinopolis,BR,-0.6136,-47.3561,302.72,61,2,4.16,clear sky
217,san vicente,AR,-26.6167,-54.1333,289.03,36,0,2.34,clear sky
218,carnarvon,AU,-24.8667,113.6333,292.25,73,0,9.36,clear sky
219,kununurra,AU,-15.7667,128.7333,300.14,65,32,3.09,scattered clouds
220,solntsevo,RU,51.4185,36.7499,282.54,92,100,2.7,light rain
221,fairbanks,US,64.8378,-147.7164,275.33,90,0,3.09,clear sky
222,anadyr,RU,64.75,177.4833,278.43,86,75,12.0,broken clouds
223,mezen,RU,65.8522,44.24,280.23,94,99,2.09,overcast clouds
224,zwedru,LR,6.0667,-8.1281,300.28,83,100,1.25,light rain
225,vagur,FO,61.4732,-6.8119,283.52,83,13,6.02,few clouds
226,pisco,PE,-13.7,-76.2167,288.18,88,100,3.09,mist
227,lima,PE,-12.0432,-77.0282,288.65,85,100,4.63,overcast clouds
228,tautira,PF,-17.7333,-149.15,298.02,76,41,9.12,light rain
229,padang,ID,-0.9492,100.3543,298.46,84,37,1.42,scattered clouds
230,hami,CN,42.8,93.45,296.01,11,98,2.49,overcast clouds
231,alugan,PH,12.2188,125.4808,298.29,90,98,4.5,overcast clouds
232,muravlenko,RU,63.7898,74.523,277.02,65,100,5.63,overcast clouds
233,te anau,NZ,-45.4167,167.7167,279.64,95,43,0.53,scattered clouds
234,soverato,IT,38.685,16.5499,296.12,34,8,4.03,clear sky
235,elizabeth city,US,36.2946,-76.2511,291.15,60,0,9.26,clear sky
236,zhigansk,RU,66.7697,123.3711,271.69,81,100,3.07,overcast clouds
237,cayenne,GF,4.9333,-52.3333,305.17,55,75,1.54,broken clouds
238,muli,MV,2.9167,73.5667,301.58,70,69,3.99,broken clouds
239,dakar,SN,14.6937,-17.4441,301.74,75,99,10.27,overcast clouds
240,clyde river,CA,70.4692,-68.5914,271.28,74,100,6.17,overcast clouds
241,salamanca,ES,40.8333,-6.0,300.03,15,92,5.78,overcast clouds
242,agadez,NE,19.75,10.25,312.64,8,7,3.26,clear sky
243,neryungri,RU,56.6709,124.6491,277.33,85,77,4.32,broken clouds
244,lompoc,US,34.6391,-120.4579,295.25,94,20,3.09,few clouds
245,souillac,MU,-20.5167,57.5167,296.36,73,40,7.2,scattered clouds
246,chuy,UY,-33.6971,-53.4616,289.03,45,8,5.08,clear sky
247,iqaluit,CA,63.7506,-68.5145,274.0,59,20,6.71,few clouds
248,tubuala,PA,9.5167,-79.0333,301.72,71,62,1.43,broken clouds
249,labuhan,ID,-6.8844,112.2051,300.59,80,6,2.23,clear sky
250,markova,UA,48.6758,24.4138,281.74,84,100,1.79,overcast clouds
251,mahon,ES,39.8885,4.2658,299.46,41,20,4.12,few clouds
252,amahai,ID,-3.3333,128.9167,298.65,86,41,1.51,scattered clouds
253,port augusta,AU,-32.5,137.7667,284.86,88,23,6.16,few clouds
254,laguna,US,38.421,-121.4238,291.92,85,0,0.0,clear sky
255,gold coast,AU,-28.0,153.4333,289.95,96,40,0.51,scattered clouds
256,vitoria da conquista,BR,-14.8661,-40.8394,302.81,40,90,2.37,overcast clouds
257,chicama,PE,-7.8447,-79.1469,287.45,66,64,3.25,broken clouds
258,rangapara,IN,26.8167,92.65,298.12,93,100,1.24,overcast clouds
259,ordzhonikidze,KZ,52.4411,61.7408,295.52,32,9,2.98,clear sky
260,vardo,NO,70.3705,31.1107,283.14,87,100,7.72,overcast clouds
261,mathathane,BW,-22.2687,28.7495,305.73,25,0,4.24,clear sky
262,tres arroyos,AR,-38.3739,-60.2798,289.22,39,16,4.08,few clouds
263,rio branco,BR,-9.9747,-67.81,297.49,73,75,5.14,smoke
264,bilma,NE,18.6853,12.9164,313.26,8,4,5.05,clear sky
265,kirakira,SB,-10.4544,161.9205,299.61,85,33,2.5,scattered clouds
266,noumea,NC,-22.2763,166.4572,291.14,84,4,2.7,clear sky
267,kangalassy,RU,62.3464,129.9628,274.11,80,94,3.66,overcast clouds
268,namatanai,PG,-3.6667,152.4333,299.59,81,94,3.52,overcast clouds
269,iranshahr,IR,27.2025,60.6848,312.34,11,0,7.2,clear sky
270,arrecife,ES,28.963,-13.5477,302.14,51,20,9.77,few clouds
271,grindavik,IS,63.8424,-22.4338,283.41,81,75,5.66,broken clouds
272,khawhai,IN,23.3667,93.1167,289.44,99,100,0.47,light rain
273,nyurba,RU,63.2842,118.3319,272.86,91,100,5.04,overcast clouds
274,dunedin,NZ,-45.8742,170.5036,281.37,88,5,1.79,clear sky
275,san jose,US,37.3394,-121.895,293.09,75,20,2.06,few clouds
276,leningradskiy,RU,69.3833,178.4167,274.83,96,100,5.27,light snow
277,zunyi,CN,27.6867,106.9072,289.23,81,100,1.86,overcast clouds
278,mount gambier,AU,-37.8333,140.7667,279.97,85,45,3.3,scattered clouds
279,flin flon,CA,54.7682,-101.865,283.06,81,75,5.14,broken clouds
280,mogadishu,SO,2.0371,45.3438,301.08,69,20,6.69,few clouds
281,kamenka,RU,51.3223,42.7678,290.58,67,100,2.69,light rain
282,ilulissat,GL,69.2167,-51.1,274.16,93,75,0.0,broken clouds
283,tuatapere,NZ,-46.1333,167.6833,280.43,94,80,0.81,broken clouds
284,katsuura,JP,35.1333,140.3,299.16,90,100,8.27,overcast clouds
285,nemuro,JP,43.3236,145.575,291.15,99,100,7.35,moderate rain
286,vostok,RU,46.4856,135.8833,284.22,98,95,2.05,light rain
287,korostyshiv,UA,50.3172,29.0563,282.64,87,100,3.42,light rain
288,mareeba,AU,-17.0,145.4333,293.95,95,43,1.07,scattered clouds
289,venado tuerto,AR,-33.7456,-61.9688,293.02,25,39,2.9,scattered clouds
290,kushikino,JP,31.7167,130.2667,296.53,88,94,4.2,overcast clouds
291,esperance,AU,-33.8667,121.9,289.47,56,100,7.99,overcast clouds
292,puerto escondido,MX,15.85,-97.0667,296.61,73,75,4.63,broken clouds
293,joshimath,IN,30.5667,79.5667,292.73,89,100,0.48,overcast clouds
294,fukue,JP,32.6881,128.8419,296.14,71,100,9.21,overcast clouds
295,coquimbo,CL,-29.9533,-71.3436,288.0,67,40,4.12,scattered clouds
296,alofi,NU,-19.0595,-169.9187,297.09,83,20,4.12,few clouds
297,aklavik,CA,68.2191,-135.0107,275.15,93,100,4.63,overcast clouds
298,quang ngai,VN,15.1167,108.8,297.65,93,100,1.31,overcast clouds
299,agadir,MA,30.4202,-9.5982,300.4,57,97,4.32,overcast clouds
300,andenes,NO,69.3143,16.1194,285.14,87,75,2.06,broken clouds
301,chara,RU,56.9064,118.2631,277.21,82,100,2.61,overcast clouds
302,two hills,CA,53.7169,-111.7518,279.42,93,4,3.09,clear sky
303,otradnoye,RU,59.7775,30.8181,285.18,78,16,2.41,few clouds
304,kampong cham,KH,11.9934,105.4635,298.99,86,100,2.9,moderate rain
305,belaya gora,RU,68.5333,146.4167,273.53,98,100,1.57,overcast clouds
306,sao joao da barra,BR,-21.6403,-41.0511,299.2,70,82,8.95,broken clouds
307,paamiut,GL,61.994,-49.6678,281.97,86,100,14.02,light rain
308,centralina,BR,-18.5839,-49.1994,299.8,35,98,3.96,overcast clouds
309,rafiganj,IN,24.8167,84.65,302.23,71,100,2.7,overcast clouds
310,williston,US,48.147,-103.618,285.56,93,100,4.8,overcast clouds
311,road town,VG,18.4167,-64.6167,303.17,79,20,3.6,few clouds
312,college,US,64.8569,-147.8028,275.32,90,75,3.09,broken clouds
313,aldan,RU,58.6031,125.3894,275.66,90,68,3.07,broken clouds
314,klaksvik,FO,62.2266,-6.589,284.66,75,16,4.74,few clouds
315,nador,MA,35.174,-2.9287,301.19,73,0,3.09,clear sky
316,eureka,US,40.8021,-124.1637,286.62,90,51,0.45,broken clouds
317,port alfred,ZA,-33.5906,26.891,291.58,69,65,1.79,broken clouds
318,luderitz,NA,-26.6481,15.1594,290.72,66,2,9.43,clear sky
319,abnub,EG,27.2696,31.1511,313.27,15,0,4.06,clear sky
320,sao joao dos patos,BR,-6.495,-43.7022,311.19,27,11,1.74,few clouds
321,raga,SS,8.4596,25.678,300.19,84,35,1.3,light rain
322,mahebourg,MU,-20.4081,57.7,296.31,73,40,7.2,scattered clouds
323,general roca,AR,-39.0333,-67.5833,288.5,44,100,3.5,light rain
324,kindia,GN,10.0569,-12.8658,301.01,73,88,0.98,light rain
325,serenje,ZM,-13.2325,30.2352,301.22,18,12,4.27,few clouds
326,longyearbyen,SJ,78.2186,15.6401,280.06,76,75,7.72,light rain
327,bengkulu,ID,-3.8004,102.2655,297.03,91,100,2.45,overcast clouds
328,mitu,CO,1.1983,-70.1733,305.82,50,13,1.25,few clouds
329,yulara,AU,-25.2406,130.9889,293.1,21,0,3.14,clear sky
330,cidreira,BR,-30.1811,-50.2056,287.55,62,63,9.55,broken clouds
331,lorengau,PG,-2.0226,147.2712,300.51,73,54,1.67,broken clouds
332,victor harbor,AU,-35.5667,138.6167,285.37,76,50,4.18,scattered clouds
333,vila franca do campo,PT,37.7167,-25.4333,296.38,80,60,4.55,light rain
334,santa cruz de tenerife,ES,28.4682,-16.2546,300.93,64,20,4.63,few clouds
335,rundu,NA,-17.9333,19.7667,308.96,4,0,1.45,clear sky
336,manoel urbano,BR,-8.8389,-69.2597,302.08,63,82,1.49,broken clouds
337,virginia beach,US,36.8529,-75.978,290.96,58,40,8.75,scattered clouds
338,kaa-khem,RU,51.6833,94.7333,284.02,77,21,1.61,few clouds
339,buhe,CN,30.2876,112.2298,294.91,26,100,3.72,overcast clouds
340,jamsa,FI,61.8642,25.19,285.55,59,8,1.86,clear sky
341,camacupa,AO,-12.0167,17.4833,305.73,18,85,2.46,overcast clouds
342,kristiinankaupunki,FI,62.2743,21.376,285.53,88,82,4.52,broken clouds
343,norman wells,CA,65.282,-126.8329,277.17,81,100,8.23,overcast clouds
344,peniche,PT,39.3558,-9.3811,297.75,71,51,7.09,broken clouds
345,arlit,NE,18.7369,7.3853,313.24,11,88,1.41,overcast clouds
346,northam,GB,51.0333,-4.2167,291.14,69,5,5.68,clear sky
347,port lincoln,AU,-34.7333,135.8667,283.71,67,34,5.03,scattered clouds
348,camacha,PT,33.0833,-16.3333,295.83,64,75,5.14,broken clouds
349,lagos,NG,6.5833,3.75,303.33,75,100,2.43,light rain
