City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,comodoro rivadavia,AR,286.07,clear sky,-45.8667,-67.5,Austral Hotel
367,lakselv,NO,284.05,scattered clouds,70.0513,24.9718,Lakselv Hotel
376,asau,RO,283.86,light rain,46.4333,26.4,Casa Mika Ciobanus
380,vestmannaeyjar,IS,283.7,overcast clouds,63.4427,-20.2734,Glamping & Camping
381,hamilton,US,288.6,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
386,rognan,NO,284.85,light rain,67.0953,15.3878,Rognan Hotell
407,belyy yar,RU,283.09,broken clouds,53.6039,91.3903,Pasportnyy Stol
408,sitka,US,286.09,moderate rain,57.0531,-135.33,Westmark Sitka
415,dauphin,CA,281.23,overcast clouds,51.1494,-100.0502,Canway Inn & Suites
435,woodward,US,288.72,overcast clouds,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
436,taos,US,287.74,mist,36.4072,-105.5731,El Monte Sagrado
437,hulan,CN,285.21,light rain,45.9833,126.6,Mingda Hotel
441,jinchang,CN,288.35,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
444,goderich,CA,285.88,few clouds,43.7501,-81.7165,Harmony Inn
453,dvinskoy,RU,280.44,broken clouds,62.1535,45.1175,Gostinitsa Dvinskaya
454,lakes entrance,AU,284.35,light rain,-37.8811,147.981,The Esplanade Resort & Spa
455,forbes,AU,285.76,overcast clouds,-33.3833,148.0167,Lake Forbes Motel
463,broken hill,AU,285.79,few clouds,-31.95,141.4333,Royal Exchange Hotel
465,curanilahue,CL,288.74,scattered clouds,-37.4667,-73.35,Hotel Plaza los Leones
468,nome,US,280.19,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
469,coihaique,CL,280.49,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
470,dolores,AR,289.78,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
472,bronnoysund,NO,285.15,light rain,65.4625,12.1997,Corner Hotel
473,ucluelet,CA,287.64,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
475,havoysund,NO,284.28,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
